DATASET_TITLE,"Hospital Admissions: Summary Statistics, 2004/05",,,,,,FROM,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004
AREA_TYPE,Local Authority,,,,,,TO,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,HEADING,All Finished Admission Episodes,Coronary Heart Disease (CHD); Diagnosis,Cerebrovascular Disease (including Stroke); Diagnosis,Cancer (excluding non-melanoma skin cancer); Diagnosis,Falls (basic accidental falls); External cause,Coronary Artery Bypass Graft (CABG) and Percutaneous Transluminal Coronary Angioplasty (PTCA); Operation,Hip Replacement; Operation,Knee Replacement; Operation,Cataract; Operation
,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Count,Count,Count,Count
,,,,,,,STATISTICAL_UNIT,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"A","North East",,,"00CH","Gateshead",,,48437,5604,1084,4678,1358,359,238,344,1327
"A","North East",,,"00CJ","Newcastle upon Tyne",,,68901,7326,1690,9548,1796,200,230,258,1794
"A","North East",,,"00CK","North Tyneside",,,57943,4296,802,6935,1414,195,212,230,1430
"A","North East",,,"00CL","South Tyneside",,,43644,3822,440,6399,1154,254,204,161,1752
"A","North East",,,"00CM","Sunderland",,,75167,7704,1002,8599,2258,403,349,381,2506
"A","North East",,,"00EB","Hartlepool",,,24465,2114,248,2475,601,80,92,163,821
"A","North East",,,"00EC","Middlesbrough",,,38332,3085,630,4090,1090,165,84,118,943
"A","North East",,,"00EE","Redcar and Cleveland",,,36467,3042,561,4428,1023,164,107,145,1082
"A","North East",,,"00EF","Stockton-on-Tees",,,48435,2509,527,5898,990,238,132,154,1270
"A","North East",,,"00EH","Darlington",,,20902,2173,326,2172,795,83,112,124,650
"A","North East","20","Durham","20UB","Chester-le-Street",,,12427,1120,151,1739,352,62,62,47,447
"A","North East","20","Durham","20UD","Derwentside",,,20315,1905,338,3028,622,95,84,71,648
"A","North East","20","Durham","20UE","Durham",,,19093,1578,253,2557,588,85,91,68,745
"A","North East","20","Durham","20UF","Easington",,,24076,2529,329,2573,661,113,94,144,959
"A","North East","20","Durham","20UG","Sedgefield",,,20188,2329,416,2325,598,112,103,118,592
"A","North East","20","Durham","20UH","Teesdale",,,4564,540,124,565,174,25,36,33,209
"A","North East","20","Durham","20UJ","Wear Valley",,,13351,1668,346,1310,447,64,80,77,382
"A","North East","35","Northumberland","35UB","Alnwick",,,8101,527,155,1301,257,43,63,48,250
"A","North East","35","Northumberland","35UC","Berwick-upon-Tweed",,,5398,468,132,839,172,47,41,34,167
"A","North East","35","Northumberland","35UD","Blyth Valley",,,22789,1781,361,2926,632,104,107,106,585
"A","North East","35","Northumberland","35UE","Castle Morpeth",,,13316,1044,228,2038,352,66,67,75,391
"A","North East","35","Northumberland","35UF","Tynedale",,,15795,876,247,2298,517,51,97,97,477
"A","North East","35","Northumberland","35UG","Wansbeck",,,18345,1509,370,2474,501,93,89,86,522
"B","North West",,,"00BL","Bolton",,,51441,5816,882,3844,1992,296,248,338,1361
"B","North West",,,"00BM","Bury",,,42431,3956,715,3749,1301,201,221,152,1023
"B","North West",,,"00BN","Manchester",,,108151,8210,1534,8401,2994,431,319,297,1767
"B","North West",,,"00BP","Oldham",,,57677,4271,1055,4063,1405,203,248,229,1098
"B","North West",,,"00BQ","Rochdale",,,51076,5101,861,4144,1200,220,224,214,1527
"B","North West",,,"00BR","Salford",,,59552,5135,1116,5045,2157,212,214,258,1190
"B","North West",,,"00BS","Stockport",,,67627,6307,1283,5520,2465,280,279,239,2038
"B","North West",,,"00BT","Tameside",,,47346,4532,818,3712,1514,236,232,278,1267
"B","North West",,,"00BU","Trafford",,,46662,3307,818,4407,1393,163,247,286,1148
"B","North West",,,"00BW","Wigan",,,74910,8617,1221,7598,2105,316,374,356,2120
"B","North West",,,"00BX","Knowsley",,,36141,4280,545,2285,1162,253,130,129,953
"B","North West",,,"00BY","Liverpool",,,105113,9454,1510,7388,4195,604,334,361,2125
